"Case#","Date","Time","Description","Location","Date_Time","Notes","Hour","Minute","Year","Time_Numeric","Type"
"210555","2021 12 28","0243","Graffiti","Library",2021-12-28 02:43:00,"Notes: A CSO on patrol in the library encountered new graffiti in a restroom. Building Services has been contacted for removal of the graffiti.",2,43,2021,2.71666666666667,"Incident"
"210556","2021 12 31","1522","Information Only","Northwest Quadrant",2021-12-31 15:22:00,"Notes: A CSO on patrol encountered wires that had been partially pulled up out of the ground and cut in the field to the east of the childcare building. Maintenance was able to determine that the wiring was old and inactive. ",15,22,2021,15.3666666666667,"Incident"
"210553","2021 12 25","1357","Unauthorized Entry","Canyon House",2021-12-25 13:57:00,"Notes: CSOs on patrol encountered an unknown vehicle parked in the driveway to the Canyon House. The CSOs completed an exterior patrol and as they were about to begin an interior patrol, two unknown individuals exited the building through the front door. When the CSOs asked the individuals their business at that location, one of them stated that they had seen some “bad guys” and wanted to stop them. They stated that the “bad guys” had gone into the canyon. One of the CSOs stated that the individuals were trespassing on private property and the police had already been called. The two individuals quickly entered their vehicle and left the premises. After the individuals had left, the CSOs completed an interior patrol of the building and did not find anything amiss. It appeared that the break-in had just occurred. The CSOs secured the building and continued on their patrols. ",13,57,2021,13.95,"Incident"
"210554","2021 12 25","2220","Accident/Damage to Property","Greywood",2021-12-25 22:20:00,"Notes: A CSO on patrol near Greywood was notified of a car crash that had taken place nearby. The CSO arrived at the scene of the accident just off of SE Woodstock Blvd, on the Reed campus grounds near Greywood. A vehicle had careened off of the street, past the sidewalk, and had hit a redwood tree on campus. There was already a crowd of bystanders gathered when the CSO arrived, and the CSO was notified that 911 had already been called. The 911 Dispatcher had provided instructions that the driver of the vehicle not be removed from the vehicle. The CSO remained on the scene until American Medical Response arrived and successfully extracted the driver from the vehicle. The CSO was able to learn from Portland Police that the driver was not affiliated with the college.",22,20,2021,22.3333333333333,"Incident"
"210537","2021 12 13","1342","Harassment","Student Union",2021-12-13 13:42:00,"Notes: A report of student harassment was received.",13,42,2021,13.7,"Incident"
"210538","2021 12 13","1435","Information Only","Off Campus",2021-12-13 14:35:00,"Notes: A professor reported receiving disconcerting emails from a former student.",14,35,2021,14.5833333333333,"Incident"
"210539","2021 12 13","2346","Information Only","GCC",2021-12-13 23:46:00,"Notes: A CSO on patrol encountered derogatory flyers and graffiti in the GCC and Student Union targeting an individual. The flyers were removed and Building Services was contacted for removal of the graffiti.",23,46,2021,23.7666666666667,"Incident"
"210540","2021 12 14","1340","Harassment","28 West",2021-12-14 13:40:00,"Notes: A student requested a No Contact Order.",13,40,2021,13.6666666666667,"Incident"
"210541","2021 12 14","2223","Medical Assist - Other","Residence Hall",2021-12-14 22:23:00,"Notes: CSOs responded to a request for medical assistance in a residence hall by a student experiencing pain. The CSOs recommended the student talk to a medical professional. The student spoke to the Fonemed nurse who advised the student to be seen at a nearby medical facility. The student arranged for a ride to a nearby facility for further evaluation.",22,23,2021,22.3833333333333,"Incident"
"210542","2021 12 15","0131","Evidence of Drug Use","Student Union",2021-12-15 01:31:00,"Notes: A CSO on patrol at the Student Union encountered the odor of cannabis upon entering the building. The CSO heard people on the south balcony, and a group of three people then came down the stairs. The CSO asked if any of them had smoked cannabis, to which one replied, “one of us was.” The individuals declined to speak with the CSO, identify themselves, or provide Reed ID cards. The CSO again requested their cooperation but they continued to walk away.",1,31,2021,1.51666666666667,"Incident"
"210543","2021 12 15","0215","Medical Transport - Other","Residence Hall",2021-12-15 02:15:00,"Notes: Dispatch received a call from a student experiencing a medical emergency. The student did not want American Medical Response (AMR) contacted or a CSO dispatched. The Dispatcher recommended the student contact the nurse Fonemed line for further medical assistance, which the student did. Approximately an hour later, the student again contacted Dispatch and reported that, per the Fonemed nurse, the student needed to be evaluated at a nearby medical facility. The Dispatcher contacted Radio cab to arrange for the student to be transported to a nearby medical facility. ",2,15,2021,2.25,"Incident"
"210544","2021 12 15","0930","Stalking","Off Campus",2021-12-15 09:30:00,"Notes: A student reported an incident of stalking that occurred off campus and wanted Community Safety to be aware of the situation. ",9,30,2021,9.5,"Incident"
"210545","2021 12 15","1308","No Contact Order","Campus",2021-12-15 13:08:00,"Notes: No Contact Orders were put in place due to reports of unwanted contact.",13,8,2021,13.1333333333333,"Incident"
"210546","2021 12 15","1403","Student Concern","28 West",2021-12-15 14:03:00,"Notes: A student arrived at 28 West to express concern for the welfare of a fellow student. Community Safety and the Dean of Students are following up on this matter.",14,3,2021,14.05,"Incident"
"210547","2021 12 16","1144","Graffiti","GCC",2021-12-16 11:44:00,"Notes: A CSO on patrol encountered graffiti in the lower level GCC bathrooms that targeted multiple people. Building services has been contacted for removal of the graffiti.",11,44,2021,11.7333333333333,"Incident"
"210548","2021 12 16","2116","Medical Assist - Other","Residence Hall",2021-12-16 21:16:00,"Notes: A CSO responded to a request for medical assistance at a residence hall. Upon arrival, the CSO met with the student requiring assistance. The student had received an injury, and after evaluation, the CSO agreed with the student that the student should be treated at a nearby medical facility. The student arranged for their own transportation and declined further medical assistance offered by the CSO. ",21,16,2021,21.2666666666667,"Incident"
"210549","2021 12 18","0428","Graffiti","Library",2021-12-18 04:28:00,"Notes: A CSO encountered new graffiti on the exterior of one of the double doors of the east-facing entrance to the library. Building Services has been contacted for removal of the graffiti.",4,28,2021,4.46666666666667,"Incident"
"210528","2021 12 07","1629","Damage to Property/Suspicious Person/Activity/Circumstances","Naito Hall",2021-12-07 16:29:00,"Notes: A CSO on patrol encountered open windows at the Naito Hall first floor common room. The CSO secured all of the windows and upon closer inspection of the exterior, it was evident that the window screen had been pried open and bent outward. It did not look as if the screen had been bent enough to allow entrance through the window. A request was sent to Building Services for screen repairs.",16,29,2021,16.4833333333333,"Incident"
"210530","2021 12 08","0146","Theft From Vehicle","North Lot",2021-12-08 01:46:00,"Notes: A CSO on patrol in the lower North Lot encountered a vehicle with its left rear passenger side window smashed out. There was shattered glass on the vehicle seats and on the pavement below the door. A backpack had been placed on the trunk of the vehicle and appeared to have been rummaged through. The vehicle was registered with Community Safety, so Dispatch was able to contact the vehicle owner notifying them of the damage.",1,46,2021,1.76666666666667,"Incident"
"210531","2021 12 08","0423","Theft - Bike Parts","Trillium",2021-12-08 04:23:00,"Notes: A CSO responded to a report of a theft in progress on the east side of the Trillium residence hall. The CSO met the reporting party who stated that the individual had left with both tires of a bike, the frame remaining secured to the bike rack. The CSO was unable to locate the individual who had taken the tires.",4,23,2021,4.38333333333333,"Incident"
"210532","2021 12 09","0014","Theft from Vehicle","West Lot",2021-12-09 00:14:00,"Notes: A CSO responded to a report of a theft in progress in the West Lot. Upon arrival, the CSO met with the reporting party who stated that they had overheard a conversation wherein, when asked by passersby, an individual stated that they were working on their car. The reporter then witnessed the individual get into a silver compact car and exit the West Lot, heading north. The CSO confirmed that the vehicle that had been “being worked on'' was missing its catalytic converter. Additionally, the jack that had been placed under the vehicle to raise it was positioned incorrectly and had dented the underside of the vehicle. As the vehicle is registered with Community Safety, Dispatch was able to contact the vehicle owner, who arrived on scene. The CSO recommended the vehicle owner file a police report and alert their insurance company of the theft. Another CSO attempted to locate the vehicle that had exited the lot but was unable to do so. ",0,14,2021,0.233333333333333,"Incident"
"210533","2021 12 09","2006","Information Only","Growing Seeds Child Care",2021-12-09 20:06:00,"Notes: A CSO on patrol encountered two doors that had been left unlocked and ajar at the Growing Seeds child care center. A second CSO arrived and together they performed an interior patrol. No signs of suspicious activity were observed. The CSOs ensured the building was secured and the alarm was armed then cleared the scene.",20,6,2021,20.1,"Incident"
"210534","2021 12 11","1228","Medical Assist - Other","Residence Hall",2021-12-11 12:28:00,"Notes: CSOs were dispatched to check on a student possibly experiencing a medical emergency. The CSOs arrived and met with the student who reported that they were feeling better than when they had requested assistance. The CSOs asked if the student wanted to be seen by a medical professional but the student declined, saying they’d like to wait a bit longer to see how they felt. The CSOs and student agreed that the CSOs would check back with the student in one hour and the CSOs cleared from the call. Before the hour was up, the student called Dispatch to report that they were feeling much better and no longer desired a check in. ",12,28,2021,12.4666666666667,"Incident"
"210535","2021 12 12","1117","Harassment","Campus facility",2021-12-12 11:17:00,"Notes: CS received a report of harassment involving physical contact between students. ",11,17,2021,11.2833333333333,"Incident"
"210536","2021 12 12","1027","Suspicious Person/Activity/Circumstances","Birchwood Apartments",2021-12-12 10:27:00,"Notes: CSOs responded to a report of a break in at the Birchwood Apartments. The CSO met with the residents who reported that they were woken up by sounds of somebody in their apartment around 10 am. When they went to check on the noises they encountered an individual in their bathroom, still fully clothed, but were preparing to shower, as stated by the individual. The student stated that the individual did not have permission to be in the apartment and needed to leave. The individual did so without objection. The student stated to the CSO that they recognized the individual as a houseless person they sometimes see around campus. One CSO carried out a vehicle patrol of campus in an effort to locate the individual, but was unable to do so. The student also stated that before leaving, the individual had relayed to them that they were told the apartment was unoccupied. The student expressed concern that the apartments were being watched. The CSO stated that people in the area are aware that students leave campus during winter break, and that knowledge with the combination of move-out lists on doors possibly led the individual to believe that the information they had received was correct. The CSO commended the student on having the presence of mind to tell the individual to leave. The CSO also recommended that for proper security, the student should always use the dead-bolt to lock the door and not just the button lock, as the student stated they had done. When asked if the student would like to notify police the student declined. CS issued a Timely Warning as a result of this report.",10,27,2021,10.45,"Incident"
"210518","2021 11 29","1305","Exclusion","Campus",2021-11-29 13:05:00,"Notes: A non-Reed community member was approached by CSOs for having their dog off-leash on the front lawn, and staring at people through binoculars. After the initial check-in with the individual wherein they were educated about off-leash areas on campus, they were later seen throughout the day moving their truck around the perimeter of campus, letting their dog run around off-leash for short periods of time, relocating and repeating the behavior. A second CSO made contact with the individual, and explained that because this behavior was inconsistent with Reed’s animal policy they were being excluded from campus, and asked not to come back. The individual said they understood, and would not come back.",13,5,2021,13.0833333333333,"Incident"
"210519","2021 11 29","0805","Damage to Property","North Lot",2021-11-29 08:05:00,"Notes: A CSO responded to a possible vehicle break-in in the North Lot. Upon arrival, the CSO observed that the rear window was smashed out on a black SUV. There were shards of glass visible on the surrounding ground and inside the vehicle. The CSO was unable to determine the owner of the vehicle so they cleared the scene. Later that afternoon, Dispatch was contacted by the owner of the vehicle so the same CSO who initially responded to the report met with the vehicle owner. The vehicle owner stated that to their knowledge, the only item missing from the vehicle was a black box containing medical supplies. The CSO made note and relayed that the full report would be made available to the vehicle owner should it be needed for insurance purposes. ",8,5,2021,8.08333333333333,"Incident"
"210520","2021 12 01","1255","Animal Issue","Dorothy Johansen House (DOJO)",2021-12-01 12:55:00,"Notes: A CSO responded to a report of a Reed community member being menaced by a dog near the DOJO. Upon arrival the CSO observed a small white and tan dog in the off-leash area near the DOJO. As the CSO approached the area that dog was in, the dog began barking at the CSO and charged the CSO. The reporting party arrived and stated that the same small dog had been menacing them not only the day of the report, but in the previous week also. As the CSO was taking photos of the dog for the report, the dog’s owner walked out from behind the DOJO to inquire as to the problem. The CSO stated that Dispatch had received multiple reports concerning the dog. The dog owner indicated that they believed that as the dog was in the off-leash dog area, there was no issue. The CSO explained that while dogs were allowed off-leash in the off-leash area, the dog needed to be under the owner’s control and thus safe and friendly toward other dogs and people. The dog’s owner stated that people uncomfortable around dogs should not walk near the off-leash area, and the CSO reminded the dog owner that this off-leash area is bordered by the Studio Art and DOJO buildings that needed to be accessible to the Reed community. The CSO cleared the area once the dog owner had taken hold of the dog’s harness. The report also notes that this is the same dog mentioned in a previous Community Safety report, and other calls received wherein by the time the CSO had arrived, the dog and owner had left.    ",12,55,2021,12.9166666666667,"Incident"
"210521","2021 12 03","0007","Suspicious Person/Activity/Circumstances","North Lot",2021-12-03 00:07:00,"Notes: A CSO on patrol in the North Lot observed that a vehicle had been jacked up with a jack underneath the front passenger side. After inspecting the vehicle, it did not appear that the vehicle had sustained any tire damage. The CSO confirmed that the catalytic converter was still attached to the vehicle. The CSO left the vehicle in that state and Dispatch attempted to contact the vehicle owner for further information. ",0,7,2021,0.116666666666667,"Incident"
"210522","2021 12 03","0846","Suspicious Person/Activity/Circumstances","North Lot",2021-12-03 08:46:00,"Notes: CSOs were dispatched to check on a possible catalytic converter theft from a vehicle in the Lower North Lot. The CSOs arrived to find a vehicle jacked up with no one in sight. The CSOs confirmed that the vehicle’s catalytic converter was still attached and used the CS vehicle jack handle to lower and remove the jack. As the CSOs were clearing the area, one of them observed a red Subaru Outback with a missing left rear window leaving the Lower Lot and the driver of the Outback appeared to be watching the CSOs.",8,46,2021,8.76666666666667,"Incident"
"210523","2021 12 03","1801","Information Only","GCC",2021-12-03 18:01:00,"Notes: CSOs were dispatched to check on a fire alarm in the GCC. The fire alarm panel indicated that a pull station on the lower level of the GCC had been activated. The CSOs performed a thorough inspection of the building but found no signs of active or potential fires.",18,1,2021,18.0166666666667,"Incident"
"210525","2021 12 04","0308","Medical Assist - Alcohol","Residence Hall",2021-12-04 03:08:00,"Notes: CSOs were dispatched to check on a student reportedly vomiting. Upon arrival, the CSOs met with the student and the reporting party. The student stated that they had consumed multiple alcoholic beverages and the reporting party was concerned that the student was suffering from alcohol poisoning. After consulting the yellow card “Signs of alcohol or other drug overdose emergencies” the CSOs determined that no intervention was necessary at that time and requested the students call CS again should the student’s condition worsen, then cleared from the call. Approximately 20 minutes later, the CSOs were dispatched back to check on the student after their condition deteriorated. The CSOs contacted American Medical Response (AMR), to perform a more thorough medical evaluation. The student declined medical transport to a medical facility and the paramedics determined that the student would be okay with sleep and time. All units then cleared from the scene.",3,8,2021,3.13333333333333,"Incident"
"210526","2021 12 05","2229","Damage to Property","28 West",2021-12-05 22:29:00,"Notes: CSOs on vehicle patrol noticed that the driver side door of the CS Subaru had sustained damage to the door hinge. A work order was submitted for repairs.",22,29,2021,22.4833333333333,"Incident"
"210527","2021 12 05","1149","Welfare Check","Residence Hall",2021-12-05 11:49:00,"Notes: CSOs were dispatched to perform a welfare check based on a report from a concerned party. The CSOs were unable to make contact with the student and follow up is being handled by Residence Life. ",11,49,2021,11.8166666666667,"Incident"
"210489","2021 11 15","1037","Theft - Other","West Lot",2021-11-15 10:37:00,"Notes: A CSO responded to a report of a theft in the West Lot. Upon arrival, the CSO met with a Reed Grounds staff member and a student worker employed with Grounds. The student worker reported that they had been raking leaves into the Grounds cart when a silver Mercedes pulled up nearby. An individual wearing a ski mask quickly jumped out of the vehicle and grabbed a leaf blower off of the Grounds cart then jumped back into the Mercedes which then sped away. No other information was available. The CSO suggested the student reach out to a counselor if need be as it appeared to the CSO that the occurrence had shaken up the student. The student stated that they were fine but appreciated the suggestion. The CSO reminded both Grounds staff members that the most important thing to remember is to keep themselves safe.",10,37,2021,10.6166666666667,"Incident"
"210490","2021 11 16","1839","Maintenance Issue","GCC",2021-11-16 18:39:00,"Notes: A CSO responded to a request for assistance regarding a maintenance issue. Upon arrival, the CSO met with a student who reported that a propane canister in use for an event was leaking after having been tightly closed. The CSO observed that the canister was visibly covered in frost. The student explained that the tool used to depressurize the canister did not work correctly and instead caused the leak. The student also reported that they had received a minor cold burn from handling the canister but did not feel it required medical attention. The CSO contacted Facilities for disposal of the tank and remained on scene to ensure nobody neared the canister until it was removed.",18,39,2021,18.65,"Incident"
"210491","2021 11 17","1137","Theft from Vehicle","West Lot",2021-11-17 11:37:00,"Notes: A student reported to CS that on 11/7/21 the catalytic converter had been stolen from their vehicle while it was parked in the West Lot. The CSO taking the report advised the student to also file a police report.",11,37,2021,11.6166666666667,"Incident"
"210492","2021 11 17","1530","Animal Issue","Grove Lot",2021-11-17 15:30:00,"Notes: A CSO responded to a report of a small off-leash dog aggressively biting at people in the Grove Lot. The CSO met with a student in the Grove Lot who reported that the dog was owned by a fellow student who had stopped into Commons and asked them to watch the dog. The dog was unleashed and once the owner went inside the building, the dog ran away toward the Grove Lot. The student stated that before the CSO’s arrival, they had managed to corral the dog in a community member’s vehicle. As the student was discussing the situation with the CSO, they saw the dog’s owner arrive. The dog’s owner apologized for the situation and explained that they had lost their dog’s leash but would be buying one as soon as possible. The CSO and owner, with their dog, walked to 28 West where the CSO made an ad hoc leash for the dog owner. The CSO offered to purchase a leash for the student from the Reed bookstore but the student politely declined. The CSO reminded the student that aside from the two off-leash areas on campus the dog needed to be leashed at all times when outside of the student’s residence.  ",15,30,2021,15.5,"Incident"
"210493","2021 11 17","1623","Sex Offense - Fondling/Clery Act Reportable Incident","Campus - Residence hall or apartment",2021-11-17 16:23:00,"Notes: An anonymous report of sexual assault was received through the online reporting system. No other information is available at this time.",16,23,2021,16.3833333333333,"Incident"
"210494","2021 11 17","2054","Medical Assist - Other","Residence Hall",2021-11-17 20:54:00,"Notes: CSOs responded to a request for medical assistance in a residence hall. There they met with two students, one of whom was experiencing medical distress. After assessing the student, the CSOs determined that the student should be evaluated by a medical professional. The CSOs escorted the student and an accompanying friend to 28 West where Dispatch arranged for a cab to transport the students to a nearby medical facility.",20,54,2021,20.9,"Incident"
"210495","2021 11 18","0034","Evidence of Drug Use","Trillium",2021-11-18 00:34:00,"Notes: CSOs responded to a report of the odor of cannabis in Trillium residence hall. The CSOs arrived on the second floor, the reported location of the odor, and noted that the odor was prolific throughout the entire south wing. The CSOs were unable to locate the exact source of the odor. ",0,34,2021,0.566666666666667,"Incident"
"210496","2021 11 18","1642","Evidence of Drug Use","MacNaughton",2021-11-18 16:42:00,"Notes: A CSO responded to a report of the odor of cannabis on the first floor of MacNaughton residence hall. Upon arrival, the CSO noted a strong odor of incense but they did not detect the odor of cannabis, and they were unable to determine the source of the incense odor. Approximately 30 minutes later, the CSO returned to MacNaughton to meet with the reporting party, at the reporting party’s request. The reporting party stipulated which area they believed the cannabis odor had originated from, but the CSO did not note any odor other than the lingering odor of incense. The CSO made contact with the resident of the room that was possibly the source of the cannabis odor the reporting party had smelled, but the resident was unaware of any cannabis use in the area. ",16,42,2021,16.7,"Incident"
"210497","2021 11 18","2037","Medical Assist - Other","Residence Hall",2021-11-18 20:37:00,"Notes: A CSO responded to a request for medical assistance in a residence hall. There, the CSO met with the reporting party who had received an injury which required first aid assistance. The CSO applied first aid and recommended the student, should they have any follow up questions, have the injury evaluated at the HCC during business hours. The CSO left additional first aid supplies with the student and cleared from the call. ",20,37,2021,20.6166666666667,"Incident"
"210498","2021 11 19","0833","Damage to Property","North Lot",2021-11-19 08:33:00,"Notes: A CSO responded to a report of a vehicle break-in in the Upper North Lot. Upon arrival, the CSO observed that the rear window of a Toyota SUV had been shattered. The CSO noted that belongings were strewn throughout the back of the vehicle. The CSO was unable to determine if any belongings were missing and, as of yet, the vehicle owner has not been identified.",8,33,2021,8.55,"Incident"
"210500","2021 11 20","0057","Alcohol Violation","GCC",2021-11-20 00:57:00,"Notes: A CSO on patrol of the GCC overheard the question, “Who wants gin and who wants tequila?” shouted from a student at a table near the lower level elevator entrance. The CSO had observed earlier in their patrols that the students seated at that table had been serving soda. The CSO approached the table and noted that the soda bottles no longer contained soda, but rather alcohol. Because the alcohol was being distributed, the CSO requested age verifications from those nearby partaking in the beverages. One of the students serving the alcohol and two who had received it were found to be under the legal drinking age. The CSO confiscated the remaining alcohol and disposed of it then continued on their patrol.",0,57,2021,0.95,"Incident"
"210501","2021 11 20","0205","Graffiti","Physical Plant",2021-11-20 02:05:00,"Notes: A CSO on patrol encountered new graffiti written on the northeast exterior side of the Physical Plant. Building Services has been contacted for clean up.",2,5,2021,2.08333333333333,"Incident"
"210502","2021 11 20","0543","Trespass","GCC",2021-11-20 05:43:00,"Notes: A CSO on patrol encountered a known excluded individual sleeping on the sofa in the lower level of the GCC. The CSO woke the individual, who claimed to be a Reed student. The CSO reminded the individual of their prior encounters and notified the individual that they needed to gather their belongings and leave campus. The individual was then escorted off of campus.",5,43,2021,5.71666666666667,"Incident"
