"Date","Alarm Checks","Animal Issue Responses","Aod Interactions","Building Patrols","Candle Incense Violation Interactions","Community Assistance Responses","Escorts","Fire Responses","Foot Patrols","Held Door Checks","Maintenance Issue Responses","Medical Assistance Responses","Noise Complaint Responses","Suspicious Circumstance Responses","Theft Reports Taken","Unlocks","Vehicle Patrols","Vehicle Assistance Responses","Welfare Check Responses","Alarm Responses","Segway Patrols","Year"
2021-10-03,NA,NA,NA,167,NA,NA,1,NA,308,20,NA,NA,NA,12,NA,69,197,NA,NA,NA,2,2021
2021-10-10,NA,NA,NA,190,NA,NA,1,NA,344,16,NA,3,NA,27,NA,100,242,4,NA,NA,NA,2021
2021-10-17,NA,2,NA,131,NA,NA,1,NA,230,14,NA,6,NA,17,NA,84,195,3,NA,9,NA,2021
2021-10-24,NA,2,NA,184,NA,NA,1,NA,253,10,NA,2,NA,26,NA,78,210,NA,NA,6,NA,2021
2021-11-07,NA,NA,NA,236,NA,1,5,NA,342,28,NA,2,1,13,NA,80,289,1,NA,NA,NA,2021
2021-11-14,9,NA,1,247,NA,1,7,NA,358,20,NA,2,1,13,NA,83,284,1,NA,NA,NA,2021
2021-11-21,15,1,1,219,NA,3,5,2,413,24,NA,4,1,19,NA,75,301,2,NA,NA,NA,2021
2021-12-05,5,1,1,227,NA,5,4,0,392,8,2,4,2,14,0,77,300,5,1,NA,NA,2021
2021-12-12,3,1,0,252,NA,2,8,0,387,13,2,2,1,14,3,63,306,1,0,NA,NA,2021
2021-12-19,3,0,2,228,NA,4,3,0,388,16,4,4,0,8,0,57,256,4,0,NA,NA,2021
2021-12-26,3,0,0,195,NA,0,0,0,372,6,2,0,0,7,0,30,238,1,0,NA,NA,2021
2022-01-02,8,0,0,204,NA,0,0,0,316,0,1,0,0,12,0,23,273,1,0,NA,NA,2022
2022-01-09,6,0,0,205,NA,0,0,0,398,7,0,3,0,10,0,33,250,1,0,NA,NA,2022
2022-01-16,5,0,0,198,NA,2,1,0,420,6,1,0,0,6,0,64,295,5,0,NA,NA,2022
2022-01-23,7,0,0,172,2,0,0,0,427,5,0,0,1,18,2,83,238,5,0,NA,NA,2022
2022-01-30,5,0,1,152,0,1,0,0,418,4,3,2,0,7,2,61,210,3,0,NA,NA,2022
2022-02-06,11,0,0,138,0,0,2,0,339,3,1,1,2,9,0,63,220,4,0,NA,NA,2022
2022-02-13,8,0,0,156,0,0,2,0,429,6,0,0,1,17,0,74,281,6,0,NA,NA,2022
2022-02-20,9,1,0,156,0,1,3,0,343,4,1,4,3,13,0,63,256,6,2,NA,NA,2022
2022-02-27,9,0,1,161,0,0,5,0,291,3,5,3,0,14,5,95,243,3,1,NA,NA,2022
2022-03-06,8,0,2,172,0,0,5,0,349,11,2,2,1,16,1,74,254,6,0,NA,NA,2022
